real dist,test,train,dist,neighbor number
1984.03276183,3266.tif,31_111.tif,306.370690504,1
1984.13406805,4086.tif,31_111.tif,306.408224433,1
1984.53420228,1110.tif,31_111.tif,306.551790078,1
2004.40215526,1962.tif,31_111.tif,306.775161967,1
2004.40215526,5480.tif,31_111.tif,306.775161967,1
2004.47499361,4820.tif,31_111.tif,306.863161686,1
2004.68027376,5430.tif,31_111.tif,306.868049819,1
2004.79126095,1865.tif,31_111.tif,306.936475512,1
2004.79126095,5068.tif,31_111.tif,306.936475512,1
2005.37328196,3536.tif,31_111.tif,307.089563483,1
2005.41816088,1719.tif,31_111.tif,307.110729217,1
2005.46029629,3241.tif,31_111.tif,307.146544828,1
2005.78139387,590.tif,31_111.tif,307.25884853,1
2133.59977503,3209.tif,31_111.tif,318.94043331,1
10107.9523644,3288.tif,31_111.tif,2230.94890125,1
11388.2147855,1386.tif,31_111.tif,2525.56449136,1
16241.1123388,5203.tif,31_111.tif,3737.09178373,1
18217.6923072,2493.tif,31_111.tif,4227.58630899,1
18964.5523807,2932.tif,12_10.tif,4660.85303351,1
19430.4272212,2602.tif,12_10.tif,4765.10430106,1
20232.1170173,4636.tif,12_10.tif,4940.0639672,1
20480.6141021,630.tif,12_10.tif,5003.88678929,1
20704.6389246,4556.tif,12_10.tif,5070.78623095,1
20765.1121114,2482.tif,12_10.tif,5064.75478182,1
20798.541295,2079.tif,12_10.tif,5103.65986327,1
20858.8258538,1371.tif,24_41.tif,5062.96602793,1
20876.7493878,4337.tif,12_10.tif,5090.22023099,1
21032.4674254,413.tif,31_111.tif,4962.7013813,1
21073.1360742,1593.tif,12_10.tif,5151.04309825,1
21138.4879308,3668.tif,24_41.tif,5110.5311857,1
21151.7453181,2825.tif,24_19.tif,5118.17799612,1
21227.9613953,4428.tif,12_10.tif,5178.65677565,1
21338.2353769,1147.tif,24_19.tif,5167.69658552,1
21361.0293759,7.tif,12_10.tif,5217.79838629,1
21361.0324657,2340.tif,12_10.tif,5217.96569556,1
21410.0169547,956.tif,12_10.tif,5237.54054877,1
21509.2426412,2743.tif,31_111.tif,5081.93516291,1
21529.611376,5332.tif,19_52.tif,5207.90773728,1
